name	smiles	score
CHEMBL100382	O=C(CCc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12	-9.294887359540974
CHEMBL106265	Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O	-7.728041822451577
CHEMBL1079801	N#Cc1ccc(NC(=O)C2CC2)nc1-c1ccco1	-7.387805458999141
CHEMBL1082005	Cc1ccc(-c2nc(NC(=O)C3CC3)ccc2-c2ccncc2)o1	-8.84413452511725
CHEMBL1086846	Nc1nc(-c2cccs2)c2c(n1)-c1ccccc1C2=O	-9.619288784553564
CHEMBL1086847	Nc1nc(-c2nccs2)c2c(n1)-c1ccccc1C2=O	-9.401709291942039
CHEMBL1086956	C#CCn1c(C)nc2sc3c(c2c1=O)CCCC3	-8.052870263021266
CHEMBL1086977	Nc1nc(-c2ccncc2)c2c(n1)-c1ccccc1C2=O	-10.071870416507066
CHEMBL1087078	C#CCOc1nc(-c2ccccc2)nc2sc3c(c12)CCC3	-9.09596232461533
CHEMBL1087079	C#CCOc1nc(-c2ccccc2)nc2sc3c(c12)CCCC3	-9.112345099040981
CHEMBL1087183	CC(C)N1CCC(NC(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	-10.784297681761055
CHEMBL1087185	CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	-10.591119845370928
CHEMBL1087462	Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCOCC3)cccc1C2=O	-10.795398203501025
CHEMBL1087701	Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCCC3)cccc1C2=O	-11.196758724939004
CHEMBL1087709	Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCC3)cccc1C2=O	-10.785959150654882
CHEMBL1087714	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNCc3ccco3)ccc1C2=O	-10.433855455095392
CHEMBL1087727	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNN3CCCCCC3)ccc1C2=O	-10.963417824867253
CHEMBL1087819	CC(=O)N1CCN(Cc2cccc3c2-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	-10.640334341726007
CHEMBL1087820	Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCCCC3)cccc1C2=O	-10.852157404842208
CHEMBL1088235	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNCc3ccccn3)ccc1C2=O	-10.627623359554624
CHEMBL1088236	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNN3CCCCC3)ccc1C2=O	-10.61237482827875
CHEMBL1088247	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNN3CCOCC3)ccc1C2=O	-10.571163277733282
CHEMBL1088253	C#CCn1c(Cc2ccc(F)cc2)nc2sc3c(c2c1=O)CCCC3	-9.19210394103976
CHEMBL1088393	Nc1nc(-c2ccccc2)c2c(n1)-c1cc(C(=O)NCCN3CCOCC3)ccc1C2=O	-10.31744525175497
CHEMBL1088398	C#CCn1c(-c2ccccc2)nc2sc(C)c(C)c2c1=O	-9.037827041588075
CHEMBL1088665	CN1CCN(NCc2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	-10.616460820272138
