name	smiles	score
ZINC40724825	CC1CCN(C(=O)C(=O)NCC#N)C1	-5.926870018057854
ZINC45692584	CC(C)C(CNC(=O)Nc1ccc(F)c(C(N)=O)c1)N1CCOCC1	-8.351199243877119
ZINC59385462	CCOc1ccc(C=NNC(=O)C2=C(C)NC(=O)NC2c2cccc([N+](=O)[O-])c2)cc1	-9.20519619944933
ZINC13640791	COc1cc(C2Nc3cc(C)cc(C)c3C3CCCC32)cc(OC)c1OC	-9.410267087734471
ZINC39674439	CC1=NNC(C)C1C(C)NC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CCNCC2	-8.76863527643401
ZINC13625985	CCOCCN1C(=NC(=O)c2ccc(S(=O)(=O)N3CC(C)OC(C)C3)cc2)SC2=CC(C)C=CC21	-9.362039245187777
ZINC40401119	CC1=C(C(=O)OC(C)(C)C)C(c2cc(C)ccc2C)N2C(=N1)[SH]=CC2CC(=O)N1CCN(C)CC1	-6.176491671638138
ZINC65146420	O=C(NCC1CCCO1)NNC(=O)c1cccc(NC(=O)C2CCCO2)c1	-9.343839453979182
ZINC50175270	CN(C)c1ccc(NC(=O)Cn2c(=O)[nH]c3ccccc3c2=O)cc1Cl	-8.765957084777863
ZINC03500228	Cc1ccc(-c2nnc(SC(C)C(=O)NCC(=O)Nc3ccc(F)c(F)c3F)n2N)cc1	-10.119182934608485
ZINC12282786	CCC(CC)CN1CC(n2cc(C(=O)OC)nn2)CC1C(=O)Nc1cccc(SC)c1	-7.772012434423346
ZINC26279501	CC(O)C(C(=O)N1CCC2(CCc3ccccc32)CC1)N1C(=O)NC(CCCNC(=N)N)C1=O	-8.604567965514837
ZINC00824986	O=C(NN=Cc1ccc(-c2ccc(Br)cc2)o1)c1ccccc1	-8.515162536906908
ZINC12833864	COc1ccc(CN(CC2CCCO2)C(c2cc3cccc(C)c3[nH]c2=O)c2nnnn2C2CCCC2)cc1	-8.304433080377626
ZINC34982749	NC(=O)C1CCN(C2=NC(=O)C(=Cc3ccc(-c4ccc(S(N)(=O)=O)cc4)o3)S2)CC1	-8.80111066885853
