name	smiles	score
ZINC20275063	COc1ccccc1NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(F)c(F)c2)cc1	-9.84180597827924
ZINC40564537	CCN(CC(C)C)C(=O)N(CC(=O)O)C1CCS(=O)(=O)C1	-6.5706953191482205
ZINC63289617	C=CCN1C(SCC(=O)Nc2cccc([N+](=O)[O-])c2)=NNC1Cc1c[nH]c2ccccc12	-8.563109128357041
ZINC14904646	CCOc1cc(CC2=[SH]C(=O)NC2=N)ccc1OC(=O)CC1=[SH]C(=O)NC1=O	-8.2826891557099
ZINC06979201	CCCn1c(SCC(=O)N2C(C)CCCC2C)nc2cc(S(N)(=O)=O)ccc21	-7.901283444423023
ZINC35695522	CCNC(=O)N(CC(=O)Nc1nc(-c2ccc(Cl)cc2)cn1-c1ccc(OC)c(OC)c1)CC1CC1	-8.555210573027798
ZINC34810620	CC(C)Cc1nc(N2CCN(C(=O)Nc3ccccc3)CC2)c2c(-c3cccc(C(F)(F)F)c3)noc2n1	-8.16767696348097
ZINC58227589	O=C(CNC(=O)c1ccsc1)Nc1ncn(Cc2ccccn2)n1	-8.370953115495626
ZINC21738558	COc1cc(C(=O)OCC2=NC3=CCC(Cl)=CN3C(=O)C2)ccc1OCC(N)=O	-9.356081955495954
ZINC15244015	COC(=O)c1ccc(S(=O)(=O)Nc2cccc(S(=O)(=O)N=C3CCCN3)c2)cc1	-10.00350245247202
ZINC43107012	CC(=O)NCCCCCC(=O)NCc1ccc(NC(=O)NC(C)C)cc1	-8.116641812422317
ZINC00881720	COc1cc(C(=O)NC(=S)Nc2cc(-c3nc4ccc(C)cc4o3)ccc2C)cc(OC)c1OC	-8.70677099978797
ZINC01031343	COc1c(Br)cc([N+](=O)[O-])c(OC)c1C(=O)NC(=O)Nc1c(F)cc(F)cc1F	-7.1079252927238326
ZINC39466964	CC(C)S(=O)(=O)C1=CC2CC3COP(=O)(Cc4ccccc4)NN3CC2C=C1Cc1ccccc1	-8.992488445249167
ZINC40495872	Oc1ccc(CNc2cccnc2-n2cncn2)c(O)c1	-8.805770796883087
ZINC14275612	Cc1nc(NC(=S)NC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)ccc1I	-9.057357038175994
ZINC40000373	CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3ccc4c(c3)CC(C)O4)C2c2cccc(O)c2)s1	-8.124004111724643
ZINC25956003	CC(Sc1nnc(-c2ccco2)n1CCC(N)=O)C(=O)Nc1ccc(Cl)cc1	-7.997794655101575
ZINC13065278	CCC(c1nnnn1Cc1ccco1)N(Cc1ccccc1OC)Cc1cc2c(C)ccc(C)c2[nH]c1=O	-8.031270416905626
ZINC03446532	CC(C)(C)NC(=O)NC(=O)CN1C(=O)NC(Cc2ccccc2)C1=O	-8.804855384498813
ZINC02382470	CC(=O)N1C(=O)C(=NNC(=O)c2nnn(-c3nonc3N)c2CSc2ccccc2)c2ccccc21	-9.591406558593146
ZINC38557387	COc1ccccc1N1C(=O)C(=CC2Nc3ccccc3C2CCNC(C)=O)C(=O)NC1=S	-8.574399817116607
ZINC39662481	COc1ccc(C(=O)N2CC(C(=O)NC(C#N)c3ccccc3)C3(CCNCC3)C2)cc1C(F)(F)F	-8.772402703770991
ZINC39465516	O=P1(O)NN2CCc3cc(S(=O)(=O)Oc4ccccc4)c(Cl)cc3C2CO1	-8.635637472578784
ZINC38489897	Cc1ccc(-n2nnc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)c2CSc2ncccn2)cc1	-9.26706819535991
ZINC05345747	COCCCN1C(=O)C2C(CC(C)C)NC3(C(=O)Nc4ccc(Cl)cc43)C2C1=O	-8.636682002349378
ZINC13264690	CC(=O)N(c1nc(C=C(C#N)C(=O)Nc2ccc(C(=O)O)cc2)cs1)c1cccc(C)c1C	-8.079177342827847
ZINC09783905	CCC(C)OC(=O)CC1C(=O)NCCN1C(=S)NC(=O)c1cc(Br)ccc1OCC(C)C	-7.473926098669694
ZINC45590976	CCCOc1ccc(C(=O)NNC(=O)c2cnn(-c3ccc(Cl)cc3)c2C(F)(F)F)cc1OC	-8.529831572859115
ZINC13023070	Cc1cc2cc(C(c3nnnn3Cc3ccco3)N3CCN(c4ccc(F)cc4)CC3)c(=O)[nH]c2cc1C	-10.248829963638848
ZINC41077780	CCc1ccc(OCCCOc2ccc(C=C3C(=N)N4N=C(S(C)(=O)=O)SC4=NC3=O)cc2)cc1	-9.146169343358109
ZINC56934145	CNC(=O)Cc1csc(NC(=O)c2nnn(-c3nc4c(s3)CCCC4)c2C)n1	-9.28452863759242
ZINC43221047	CC(O)C1(C(=O)O)NC(c2ccc3c(c2)OCCO3)C2C(=O)N(C3CCCCC3)C(=O)C21	-8.915252761228121
ZINC51790047	CNC(=O)c1cc(NC(=O)C(=O)NCc2cccc(OC(F)F)c2)ccc1F	-9.654898700545418
ZINC20599727	NC(=O)c1ccc(N2CCCC(CCC(=O)N3CCN(C4=CCC=CN4)CC3)C2)nc1	-9.928473017233417
ZINC35425601	COCC(=O)Nc1ncncc1-c1noc(C2CCCN2Cc2ccc(C(=O)O)cc2)n1	-8.309620779192826
ZINC36050964	CCOC(=O)C1=C(C)N=C2SC=C(CC(=O)NCC3CCCO3)N2C1c1cc(OC)cc(OC)c1	-7.098477462029018
ZINC40340427	COc1cc(C2c3c(-c4ccc(C)cc4)n[nH]c3C(=O)N2CCCN2CCOCC2)cc(OC)c1O	-7.868767764036351
ZINC64502421	CC(C)C(=O)NC1Nc2cc(NC(=O)C3Cc4cc(Cl)ccc4N3)ccc2S1	-9.401550447274152
ZINC63375756	CCOC(=O)c1ccc(-n2c3c(c(=O)[nH]c2=O)C2NC(CC4c5ccccc5NC42)O3)cc1	-9.030710052699936
ZINC13221883	COCCn1c(C)cc(C(=O)CSc2nc3nc(C)c(CC(=O)O)c(C)n3n2)c1C	-8.643020552832192
ZINC09428644	CC(=O)c1ccc(NC(=S)N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)cc1	-9.533299206810737
ZINC29994374	CC(OC(=O)c1ccc2c(c1N)C(=O)c1ccccc1C2=O)C(=O)Nc1sccc1C(N)=O	-9.902159068746858
ZINC22735132	CN1CCN(C(CNC(=O)C(=O)Nc2ccc(F)cc2F)c2ccc3c(c2)CCCN3C)CC1	-9.054295461453785
ZINC17016385	CC(Sc1nnc(SCC(N)=O)s1)C(=O)Nc1ccc(Br)cc1F	-8.149210373420154
ZINC59885329	CCS(=O)(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc1	-8.978312113215903
ZINC18387194	Cc1ccc(C)c(NC(=O)C(OC(=O)c2csc(S(N)(=O)=O)c2)c2ccccc2)c1	-9.378822224585285
ZINC24192893	CCN1C(=O)C2(C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2CCCN2CCOCC2)c2ccccc21	-9.167698925196412
ZINC10034168	Cc1ccc(-n2nc3c(c2NC(=O)C(=O)NCCC2=CCCCC2)CS(=O)(=O)C3)c(C)c1	-9.823339349761625
ZINC08645001	COC(=O)c1c(C)[nH]c(C(=O)CSc2nnc(-c3ccc(Cl)cc3Cl)n2N)c1C	-8.973558715306716
ZINC09446282	O=C(Nn1cnc2scc(-c3ccco3)c2c1=O)c1ccc(=O)[nH]c1	-8.798881625707908
ZINC16531224	CCCCN(Cc1ccco1)c1ccc(NC(=O)c2ccccc2Br)cc1C(=O)NCCC	-7.365485438808629
ZINC01401062	Nc1cccc2c1C(=O)N(CCNC1=C(Cl)CC(C(F)(F)F)=CN1)C2=O	-9.376031797636015
ZINC63389835	CC(=O)Nc1ccc(NC(=O)CCCNC(=O)N2CCC3c4ccccc4NC3C2)cc1	-9.467668361901906
ZINC18048325	COc1cc(C(=O)NC(C)c2ccc(-n3ccnc3)cc2)ccc1OCC(=O)Nc1ccc(F)cc1	-9.915404519700905
ZINC32125053	COc1c(Cl)cc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCCCC3)cc1Cl	-8.711519768128372
ZINC13591492	Nc1sc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1-c1ccc(F)cc1	-8.530372246757237
ZINC58841671	NC(=O)c1ccc(NC(=O)CNC(=O)NCc2ccco2)cc1Cl	-8.976883406772878
ZINC67550359	CC(=O)Nc1cc(NC(=O)NCCCNc2ccccc2)c(F)cc1F	-9.274578225894949
ZINC12769251	CC(OC(=O)CCn1c(=O)[nH]c(=O)c2ccccc21)C(=O)N1c2ccccc2NC(=O)C1(C)C	-11.603726280359473
CHEMBL183924	CC#CCOc1ccc(S(=O)(=O)N2Cc3ccc(CO)cc3N(C(C)=O)CC2C(=O)NO)cc1	-9.196727828210228
ZINC32922362	CC(=O)NC(CC(=O)OCC(=O)Nc1ccc(OC(F)F)cc1)c1ccccc1Cl	-8.30514708984879
ZINC01421790	CC(C)Oc1ccccc1C1C(C#N)=C(N)Oc2c1oc(CO)cc2=O	-5.883319090238366
ZINC59915543	CCCCC(C)=NNc1nnc(SCC(=O)Nc2sc3c(c2C#N)CCCC3)n1N	-8.350740149507729
ZINC00691153	COc1cc(C2C(C#N)=C(N)N(c3nc[nH]n3)C3=C2C(=O)CC(C)(C)C3)cc(OC)c1OC	-6.413682206222667
ZINC06300286	Cc1cc(C)c2[nH]c(=O)c(CN(C(=S)NCCCN3CCOCC3)C3CCCC3)cc2c1	-8.469781710511798
ZINC16694337	O=C(Cc1c(F)cccc1Cl)Nc1cccc(S(=O)(=O)N=C2CCCCCN2)c1	-9.994370945499178
ZINC57730534	Cc1c(C2CC(C(=O)Nc3sc4c(c3C#N)CCC4)N(C)S(=O)(=O)N2)cnn1C	-7.800489428369574
ZINC05769886	O=S(=O)(NN=Cc1ccc(O)cc1O)c1ccc(Cl)cc1	-8.673681732684091
CHEMBL442421	Cc1cc(COc2ccc(C(=O)NC(C)C3NC(=O)NC3=O)cc2)c2ccccc2n1	-11.667322584499907
ZINC46009258	CC(=O)N(C)Cc1ccccc1NC(=O)NCCOC1CCCCC1C	-8.641271067722784
ZINC14662126	COCCOc1ccc(C(=O)NC(=S)NNC(=O)c2ccc([N+](=O)[O-])cc2)cc1Br	-8.068440478365304
ZINC20882191	CCOc1ccc(C(=O)NCC(=O)OC(C)C(=O)Nc2ccc(Br)cc2)cc1OCC	-8.472284421148197
ZINC35529868	CCCCCOc1ccc(C2C(C(=O)c3ccncc3)=C(O)C(=O)N2c2nnc(C)s2)cc1OC	-8.205717222514286
ZINC08845379	CCOc1ccc(C2c3c(-c4cc(Cl)c(C)cc4O)n[nH]c3C(=O)N2CCO)cc1	-8.033717945222334
ZINC38656914	COc1ccc(C=CC(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc(OC)cc2OC)cc1	-9.102053970492419
ZINC33937001	CCC(c1nnnn1CC1CCCO1)N(Cc1ccccc1)Cc1cc2ccc(OC)cc2[nH]c1=O	-8.648832907865286
ZINC34920166	CN(C)c1ccc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1	-8.043350550090256
ZINC66751707	CNS(=O)(=O)c1cccc(C(C)NC(=O)c2cc(Cl)c3c(c2)OCO3)c1	-9.026768773450147
ZINC16550740	Cc1cc(NC(=O)C(OC(=O)c2cc([N+](=O)[O-])ccc2NCCO)c2ccccc2)no1	-8.037378062423969
ZINC13090005	CC(Sc1ncc(C(=O)O)n1-c1ccccc1)C(=O)Nc1ccc(N(C)C)cc1	-7.943083023021312
ZINC39762868	C=CCn1c(CCNC(=O)c2ccc(OC)cc2)nnc1SC(C)C(=O)NC1=[SH]C=CN1	-8.327981570258935
ZINC00825804	O=C(O)c1cccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(I)cc3)c2)c1	-9.905643943143772
ZINC40000478	CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3cc4cccc(OC)c4o3)C2c2ccc(O)cc2)s1	-8.73923805071729
ZINC36358787	N#CCCN1CCN(C(C(=O)O)c2cn(CCC(=O)O)c3cc(Br)ccc23)CC1	-7.288543733458499
ZINC40584786	Cc1ccc(S(=O)(=O)NNc2ncnc(Nc3cccc(C)n3)c2[N+](=O)[O-])cc1	-9.279071852724531
