name	smiles	score
ZINC39698571	N#CC1=C(N)OC2c3ccccc3NC(=O)C2C1c1ccsc1	-8.466707870248706
ZINC12024393	COC(CNC(=O)c1ccc(N2C(=O)C(C)CS2(=O)=O)cc1Cl)OC	-7.515980276703897
ZINC35773834	Cc1c(N)cccc1S(=O)(=O)N1CCOCC1C	-6.889817083505088
ZINC36298376	CNCc1ccccc1NS(=O)(=O)c1ccc(F)cc1Cl	-7.383317966918829
ZINC36271999	CCN1CCN(Cc2c(-c3ccc4c(c3)CCCC4)nc3ccc(N)cn23)CC1	-9.963980432612559
ZINC39532247	CCc1ccc(C(CNI)N2CCNC(O)C2)cc1	-6.716717591014978
ZINC39947331	CC(SC1NN=C(c2c[nH]c3ccccc23)O1)C(=O)NCc1ccco1	-8.899555665439992
ZINC61274565	Cc1[nH]ncc1CCCNC(=O)CN1CCCNCC1	-6.928351045479945
ZINC39469268	O=P1(O)NN2CC3C=C(Br)C(S(=O)(=O)Oc4ccccc4)=CC3CC2CO1	-9.058374562238438
ZINC33358870	CCn1c(=O)c(Br)cc2cnc(N)nc21	-5.840498575629083
ZINC63390335	NC1=NC2NCNC2C(N2CCN(S(=O)(=O)c3ccc(Br)s3)CC2)N1	-8.785725744135457
ZINC31934787	CC1CCc2c(sc3nc(CNCC4CCCO4)[nH]c(=O)c23)C1	-8.456694047333524
ZINC41637190	Cc1nc2n(n1)C(=O)C(C(c1cccs1)N1CCCC1)=[SH]2	-7.340700426266077
ZINC35374840	CCCCc1ccc(C(=O)N2CCC3(CC2)NC(C(=O)NCC(C)CC)CS3)cc1	-8.077235294460653
ZINC02427836	O=C(NNC1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O)c1ccncc1	-8.743090385551213
ZINC52093218	CC(C)n1cc(Br)cc1C(=O)NC1CCNC1	-6.223753692236667
ZINC41744331	COC(=O)c1cc([N+](=O)[O-])c(=O)n(CC(=O)NC(=O)c2cccn2C)c1	-7.773805063981966
ZINC25505484	CC(C(=O)NCC1COc2ccccc2O1)N1CCN(c2ccc(O)cc2)CC1	-8.847130185855033
ZINC63959831	CCCCN1C(SCc2nc3c(cnn3C)c(=O)[nH]2)NC(C)C1C	-7.2808841842163865
ZINC63433855	O=C(Nc1cc(F)cc(F)c1)C(=O)NC1CCN(CC2CCCC2)CC1	-8.182787353201638
ZINC37932931	CN(CCC(=O)O)CC1=NC2=CCC=CN2C(=O)C1	-6.622422619308702
ZINC48276061	COc1cc(CN(CC(N)=O)Cc2cccs2)cc2c1OCO2	-6.779531567932226
ZINC59782556	COc1ccccc1C(CNC(=O)C(NC(=O)c1ccc(C)cc1)C(C)C)N1CCCCC1	-8.542281591803128
ZINC01634828	O=C1CCC2(c3ccccc3)NC3C=CNC=C3N12	-7.816802298565463
ZINC66626326	Cn1c(CNC(=O)c2cc(Cl)c3c(c2)OCCO3)n[nH]c1=S	-7.908551366276109
ZINC18200856	COc1ccc(C2CC(=O)C3=C(C2)Nc2ncnn2C3c2ccncc2)cc1OC	-9.036495437080504
ZINC39623434	CCCCCNC(=O)C1CN(C(=O)c2cccc(OC(C)=O)c2C)CC12CCNCC2	-7.494739989019828
ZINC67541401	CCN1CCC(CNC(=O)Nc2nnc(C(C)C)s2)CC1	-8.031200526702078
ZINC39664361	CCOc1ccccc1C(=O)N1CC(C(=O)NCC(c2ccccc2)N2CCOCC2)C2(CCNCC2)C1	-9.055221528768838
ZINC57351898	CC1CSC2=NC(=O)C(=Cc3ccc(OS(=O)(=O)c4ccccc4)c(Cl)c3)C(=N)N21	-9.69292995115211
ZINC64098615	Cc1cc(C)cc(-n2ccnc2SCC(=O)NC2CCCNC2=O)c1	-7.991385793016839
ZINC39672912	O=C(NCC1(N2CCOCC2)CCCCC1)C1CN(C(=O)c2ccncc2)CC12CCNCC2	-8.916115366435728
ZINC40490196	CCc1cc2c(=O)n(CC(O)CN3CCOCC3)cnc2s1	-7.634497090127977
ZINC41202070	CC1=C(c2cccs2)NC(C(N)CC(C)C)N1	-6.8933457835035234
ZINC35205661	CC(CO)Nc1ncnc2ccsc12	-5.725881209694916
ZINC40103886	CN(C)C(CNC(=O)Nc1ccc(-c2nccs2)cc1)c1cccs1	-8.273492335208491
CHEMBL372110	CC(C)(SCc1ccccn1)C(N)C(=O)N1CC(F)CC1C#N	-7.600867486320622
ZINC12497432	CCOC(=O)C1(CCSC)NC(c2ccc(O)c(OC)c2)C2C(=O)N(c3ccc(C)cc3)C(=O)C21	-8.420563305486437
ZINC53533231	Cn1ncc2c(=O)n(CCNC3CCS(=O)(=O)C3)cnc21	-7.160664997520354
ZINC65077406	COCCNC(=O)CC(C)S(=O)(=O)c1ccc2c(c1)NC(=O)CCS2	-7.218691002233569
ZINC30822920	Cc1c2c(=O)n(-c3ccc([N+](=O)[O-])cc3)[nH]c2cc(=O)n1CCC1=CNCN1	-8.850008938249427
ZINC45811979	Cc1noc(C)c1S(=O)(=O)NCc1ccc(-n2cccn2)cc1	-8.52532453042519
ZINC02458658	O=S1(=O)CCC(NCC2CCCO2)C1	-5.724646453425048
ZINC67133138	Cc1c(C(=O)NCC(c2ccco2)N(C)C)nnn1-c1ccc2c(c1)OCCO2	-9.078168906031996
ZINC47615510	CN1CCC(NC(=O)CCn2cnc3sccc3c2=O)CC1	-7.7185576094345345
ZINC38984219	COc1ccc2c(c1)CC(C1NC3=CCC=CN3C1Nc1ccc(C)cc1C)C(=O)N2	-8.288752316513602
ZINC40825021	Cc1cc(OC(=O)c2oc3c(c2C)C(=NNC(=N)N)CCC3)cc(C)c1Cl	-8.488257583420499
ZINC38870010	O=C(NCC1CCCO1)c1ccccc1NC(=O)C1CCCN(Cc2c(Cl)cccc2Cl)C1	-9.408129014741972
ZINC09581871	Cc1[nH]c2ccccc2c1C1c2ccccc2C(=O)N1CC(=O)N1CCN(C=O)CC1	-9.03739646229774
ZINC09054613	Cc1sc2nc(CN3CCOCC3)nc(NC3CCS(=O)(=O)C3)c2c1C	-7.6420468641207435
ZINC50004575	Cc1cc(C(=N)N)ccc1N(C)c1ccccc1F	-7.017823996471861
ZINC35567857	Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3C=CNC3)C2c2ccc(OCC(N)=O)cc2)s1	-7.882029830807209
ZINC66405910	Cn1cc(C=C(C#N)C(=O)Nc2ccccc2)c(-c2ccncc2)n1	-8.649715405384093
CHEMBL1215166	Cc1nc2nc(C(=O)Nc3ccon3)cn2c(-c2ccc(Cl)cc2Cl)c1CN	-8.402841573850456
CHEMBL389599	NC(CC(=O)N1CCn2c(nnc2-c2ccc(F)cc2F)C1)Cc1cc(F)ccc1F	-9.438358335061867
ZINC53244951	CC1CCC(N)C(N(C)C2CCCN(C)C2)C1	-5.827160620053642
ZINC12766980	Cc1cccc(C(=O)NC(C)C(=O)Nc2ccc(N3CCN(C)CC3)nc2)c1	-8.69569376056023
ZINC35800858	CC1=C(C)N(CCN2CCOCC2)C2N=CN(Cc3ccccc3)C(N)=C12	-8.017195741342524
ZINC15733769	Cc1cc2c3c([nH]c2cc1S(=O)(=O)NCCN1CCCCCC1)CC(C)(C)CC3=O	-8.821716657552445
ZINC62068582	O=C(NCc1ccnc(-n2cccn2)c1)C(=O)Nc1ccc(F)cc1F	-8.55481330282896
ZINC51837394	Cc1sc(NC(=O)CN(C)CC(C)O)c(C#N)c1C	-6.260561924345656
ZINC28308350	Cc1ccc(NC(=O)C(Cc2ccc(C)o2)=NC(=O)c2ccccc2Br)cc1	-9.403180734086682
ZINC51846084	CCS(=O)(=O)NCCCNC(=O)C(=O)n1ccc2ccccc21	-7.319743268870059
ZINC30827159	O=C1C=C(NC(=S)NC(=O)c2cccc(Cl)c2)C=CC1=C1Nc2ncccc2O1	-9.818774808954457
ZINC35553200	CN1C(=O)C2(C)CC(C)(C(=O)NNC(=O)c3ccccc3Br)CC(C)(C2)C1=O	-9.068667372348399
ZINC41165535	Cc1c(C(O)CCN2CCN(C)CC2)ccc2[nH]ncc12	-7.403949904250751
ZINC35691759	CC(C1CCCNC1)N1C(=O)C2CCCCC2C1=O	-7.967483902809884
ZINC11997778	COCCN1CCN(C(=O)CC2(c3ccccc3Cl)CC(=O)N(CCN(C)C)C2=O)CC1	-7.548130508091952
ZINC63783568	CN1CCN(CCCCNC(=O)c2[nH]c3ccccc3c2Br)CC1	-7.713636842299837
ZINC40968734	Nc1ccc(OCC[SH](O)c2ccc(Br)cc2)cc1	-6.866392388901112
ZINC40110869	CC1(c2cccc(NC(=O)COc3cccc(Br)c3)c2)NC(=O)NC1=O	-8.62992518505684
ZINC19461367	CC1(C)Cc2nc(C3CCN(CC(O)c4ccccc4)CC3)ncc2C(O)C1	-9.405895246201624
ZINC32071247	Cc1ccc(Oc2ccc(C(CN)N(C)CCO)cc2)cc1C	-7.2417828904632495
ZINC05482312	CC1(C)C2CCC1(CS(=O)(=O)O)C(=NNC(=O)C1CCNCC1)C2	-7.053236290810384
ZINC55168837	CC1CCC(NC(=O)c2n[nH]c(N)n2)(C(=O)O)CC1	-7.187837282648263
ZINC65376724	Cc1cc(C(=O)NCC(C)C)ccc1NC(=O)NCC(C)N1CCCCC1C	-8.181262687522183
ZINC56194568	CC(NC(C)c1ccc(C(C)(C)C)cc1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O	-8.161207182900405
ZINC19520675	CCC1CC(C(F)(F)F)n2nc(C3CCCN3C(=O)C3CC(=O)N(C)C3)cc2N1	-8.618312507818825
ZINC36851093	Cc1cc(NC2CC(=O)N(C(C)C)C2=O)n(C)n1	-6.918294149463129
ZINC65452092	CCN1CCN(C(C)CNC(=O)N(C)Cc2c(C)noc2C)CC1	-7.1943087058049535
ZINC40367055	CCC(CN)NS(=O)(=O)c1ccccc1C(F)(F)F	-6.531331032685496
ZINC36154327	O=c1[nH]c(CNCc2ccco2)nc2scc(-c3ccccc3F)c12	-8.760021004475506
ZINC39670312	CC1C=CN2C=C(CNC(=O)C3CN(C(=O)c4cncn4C)CC34CCNCC4)NC2=C1	-9.210440282046294
ZINC64489788	CC(=O)Nc1cccc2c1CCN(C(=O)c1cnn(-c3ccccc3Cl)c1)C2	-8.495495100250599
ZINC37569508	CC(=O)NCCNC(=O)c1cc(C#CCCO)ccc1F	-7.39767582368302
ZINC43428093	C1CCC2C(C1)OCCN2CCN1CCNCC1	-6.825809358424132
ZINC14522100	CC(=O)n1ccc2cc(NC(=O)c3cc(-c4cc(C)oc4C)nc4onc(C)c34)ccc21	-9.96608397646898
ZINC36592853	CC1(C)CC2=C3C(=[SH]C4=C3N3C(=O)C=CC3(C)NC4=O)NC(N3CCOCC3)=C2CO1	-8.433457822322188
ZINC44282234	NCCCc1c(-c2ccccc2)nc2ccc(Br)cn12.O=NO	-7.350510967572533
ZINC26411307	O=C1NCCCCC1Sc1nnc(-c2cccnc2)n1C1CC1	-8.176050804454789
ZINC53940134	CN(CCC(N)c1cccc(Br)c1)C1CCOCC1	-7.314465737057632
ZINC40335132	CC(C#N)CN(C)S(=O)(=O)c1ccc(Br)cc1N	-6.783058712440562
ZINC38048027	CS(=O)(=O)CCCNCC(=O)Nc1c(F)cccc1F	-6.4905441902852825
ZINC26700551	Cc1cn2nc(NC3CCN(S(C)(=O)=O)CC3)sc2n1	-7.228034304851244
ZINC36944779	CC1(NCc2cc(Cl)c3c(c2)OCO3)CCS(=O)(=O)C1	-7.636467363098109
ZINC35798050	Cc1nc(Cl)sc1S(=O)(=O)NCCNS(C)(=O)=O	-6.3426310620002315
ZINC50817943	Nc1nc(CN2CCN(C3CC3)CC2)nc2sccc12	-6.9633272259016
ZINC02316268	CC(C)(C)C(=O)NNC(=O)CN1CCn2c3c(c4cc(C5CCCCC5)ccc42)CC=CC31	-9.895672351822489
ZINC55519893	N=C1C(=Cc2ccc(OC(=O)c3cccs3)c(Cl)c2)C(=O)N=C2SCCN12	-8.51162750011543
