name	smiles	score
CHEMBL100847	CC(C)(C)c1cc(NC(=O)NC2CCc3ccccc32)n(-c2ccccc2)n1	-8.610486300146041
CHEMBL101035	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1	-7.983885557282097
CHEMBL103667	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	-8.341466752636299
CHEMBL104749	Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12	-7.769323700756155
CHEMBL104991	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cn1	-8.328545987266574
CHEMBL1078859	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(C(N)=O)cc1	-9.110636559381938
CHEMBL1080052	O=c1cnn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl	-9.923896685904309
CHEMBL1082158	O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1	-10.620357963403336
CHEMBL1082159	Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1c(F)cccc1F	-10.507049038783583
CHEMBL1087650	CN1CC2CC1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1	-9.014448095143043
CHEMBL1088442	CCCNC(=O)c1ccc(C)c(Nc2nncc3c2cnn3-c2ccc(F)cc2F)c1	-9.96140844080772
CHEMBL1088750	CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCCN(C)C)cc21	-8.484851167930126
CHEMBL1088751	CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1	-9.80423989384718
CHEMBL1088752	Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1	-9.56669706782439
CHEMBL1088796	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(-c3ccccc3F)nncc2c1	-9.79726431023371
CHEMBL1089172	OC1CCCC1N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1	-8.975477402240958
CHEMBL1089457	Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3ncccc3C(F)(F)F)c2n(C)c1=O	-10.396430875685503
CHEMBL1089513	CNc1noc2c(-c3cc4cnn(-c5c(F)cccc5F)c4n(C)c3=O)c(C)ccc12	-9.26315139489517
CHEMBL1089520	NS(=O)(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncc2)CC1	-8.754255107317093
CHEMBL1089655	CC(C)Nc1nccc(N(CCCCN)C(=O)c2ccc3c(c2)CCO3)n1	-7.850681852925202
CHEMBL1090089	Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21	-8.074398350046867
CHEMBL1090090	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F	-8.184531189362689
CHEMBL1090230	CC(Nc1nccc(N(CC2CCNCC2)C(=O)c2ccc3c(c2)CCO3)n1)c1ccccc1	-9.76596950722882
CHEMBL1091259	CCN(C(=O)c1cccc2c1OCC2)c1ccnc(NC(C)c2ccccc2)n1	-9.45915416630813
CHEMBL1091260	CCN(C(=O)c1ccc2c(c1)CCC2)c1ccnc(NC(C)c2ccccc2)n1	-9.007643343072289
CHEMBL1091552	Fc1ccc(-c2[nH]nc(C3CCCNC3)c2-c2ccncc2)cc1	-8.8190508258272
CHEMBL1091614	NCCCCN(C(=O)c1ccc2c(c1)CCO2)c1ccnc(NC2CCC(O)CC2)n1	-8.126504055109965
CHEMBL1091930	Cc1ccc(C(N)=O)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O	-10.004121970386556
CHEMBL1092001	Clc1ccc(-c2[nH]nc(C3CCN(C4CCOC4)CC3)c2-c2ccncn2)cc1	-8.79988514454466
CHEMBL1092012	Cc1ccc(C(=O)Nc2ccon2)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O	-11.125495532361194
CHEMBL1092013	Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3ccccc3F)c2n(C)c1=O	-10.609470735195094
CHEMBL1092675	CCN(C(=O)c1cccc(C)c1)c1ccnc(NC(C)c2ccccc2)n1	-8.93545694415364
CHEMBL1092754	Cn1cc(C=C2Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21	-8.18500032086203
CHEMBL1092974	CCN(C(=O)c1ccc2ccccc2c1)c1ccnc(NC(C)c2ccccc2)n1	-9.347178228917446
CHEMBL1093007	OCCN1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1	-8.236587665630541
CHEMBL1093219	CCN(C(=O)c1ccc2occc2c1)c1ccnc(NC(C)c2ccccc2)n1	-9.28148305522371
CHEMBL1093301	Clc1ccc(-c2[nH]nc(C3CCN(Cc4ccncc4)CC3)c2-c2ccncn2)cc1	-8.282023940626756
CHEMBL1093548	CC(Nc1nccc(N(CCCCN)C(=O)c2ccc3c(c2)CCO3)n1)c1ccccc1	-9.207028736253172
CHEMBL1093834	CC(C)Nc1nccc(N(CC2CCNCC2)C(=O)c2ccc3c(c2)CCO3)n1	-8.783419760532675
CHEMBL1094013	CCCNc1nccc(C2=C(c3ccc(F)cc3)NC3CCC(Cc4ccc(OC)cc4)N23)n1	-9.346806952272845
CHEMBL1096192	Cc1nnc(-c2ccc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c2)o1	-11.616968070823903
CHEMBL1097021	CNC(=O)c1ccc(C)c(-n2ncc(OCc3ccc(F)cc3F)c(Br)c2=O)c1	-9.170786453778547
CHEMBL109732	CC(Nc1cc(-c2[nH]c(SCc3ccc([SH](C)O)cc3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1	-9.462039581017898
CHEMBL1098525	N#Cc1cc(F)c(-c2c(=O)ccn3c(-c4ccc(F)cc4F)cccc23)c(F)c1	-11.323485120628893
CHEMBL1098552	Cc1noc(-c2cc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c(F)c2)n1	-11.356195944897651
CHEMBL1098822	O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1c(F)cc(-c2nnco2)cc1F	-11.21865875016557
CHEMBL113851	COc1cccc(COc2cc(N)nc3[nH]c(-c4ccc(F)cc4)c(-c4ccncc4)c23)c1	-9.295057604368711
CHEMBL115778	Nc1cc(OCCCc2ccccc2)c2c(-c3ccncc3)c(-c3ccc(F)cc3)[nH]c2n1	-8.70757669007795
CHEMBL1171612	O=C(NCc1c(F)cccc1F)c1cc(C(=O)c2ccccc2F)c[nH]1	-8.932953996704189
CHEMBL1171613	CN1CCN(c2cccc(CNC(=O)c3cc(C(=O)c4ccccc4F)c[nH]3)c2)CC1	-9.174825786154937
CHEMBL1172017	O=c1[nH]c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCC(O)CC3)c2)[nH]1	-8.457519400058246
CHEMBL1173078	CC(C)C(C)Nc1cc(-c2[nH]c(=O)[nH]c2-c2ccc(F)cc2)ccn1	-8.326464181735089
CHEMBL118258	CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1	-8.067464387910789
CHEMBL118281	CC(Nc1nccc(-n2cc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)n1)c1ccccc1	-9.515840241644577
CHEMBL118419	CC(Nc1cc(-c2sc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1	-9.598967098759637
CHEMBL119385	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl	-9.924757485721353
CHEMBL119595	COCC(C)Nc1cc(-c2c(-c3ccccc3)nc3nc(N)ccn23)ccn1	-7.251271688415954
CHEMBL119699	OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)s2)CCNCC1	-8.53223028416524
CHEMBL119849	CSc1nccc(-c2c(-c3ccccc3)nc3nc(N)ccn23)n1	-7.086627623299103
CHEMBL119952	CC(Nc1nccc(-n2c(-c3ccc(F)cc3)nc3nc(N4CCN(C)CC4)ccc32)n1)c1ccccc1	-9.798828684781158
CHEMBL120085	CC(Nc1nccc(-c2oc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)n1)c1ccccc1	-9.538213243819007
CHEMBL120185	CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1	-8.710508193020592
CHEMBL120300	O=C1NCc2cc(NS(=O)(=O)c3ccc(F)c(Cl)c3)ccc2N1c1c(Cl)cccc1Cl	-8.904171423898733
CHEMBL120587	CCOc1ccc2c(-c3c(-c4cccc(C)n4)nn4c3CCC4)ccnc2c1	-8.221913926419292
CHEMBL1208830	COc1c(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1C(=O)NC1CC1	-7.988814924249576
CHEMBL1208889	COc1c(NC(=O)Cc2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O	-8.195757916359929
CHEMBL1208890	COc1c(NC(=O)C(=O)c2ccc(Nc3ccncn3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O	-8.674848507066791
CHEMBL1208891	COc1c(NC(=O)C(=O)c2ccc(NC3C=CNC=C3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O	-8.766872837511364
CHEMBL1208955	COc1c(C#N)cc(C(C)(C)C)cc1NC(=O)C(=O)c1ccc(-c2cccnc2)c2ccccc12	-8.792513915537098
CHEMBL1209013	COc1c(C#N)cc(C(C)(C)C)cc1NC(=O)C(=O)c1ccc(-c2ccnc(C)c2)c2ccccc12	-9.259542318254027
CHEMBL1209014	Cc1ccc(-n2cc(C(C)(C)C)c(NC(=O)Nc3ccc(OCCN4CCOCC4)c4ccccc34)n2)cc1	-9.260610241347678
CHEMBL1209276	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CNC(=O)c3cccnc3)c2)n1	-9.477570918187492
CHEMBL1209288	Fc1ccc(-c2[nH]cc(C3=CC4CCCN4CC3)c2-c2ccncc2)cc1	-8.981891849964434
CHEMBL1209342	Cc1cc(C(=O)NCC(=O)NCc2cccc(-n3nc(C(C)(C)C)cc3NC(=O)Nc3ccccc3)c2)no1	-8.576919741567554
CHEMBL1209343	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CNC(=O)c3ccco3)c2)n1	-9.38643692707933
CHEMBL1209407	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CN3CCCC3=O)c2)n1	-8.813064661299967
CHEMBL1209482	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)Cn3ccccc3=O)c2)n1	-9.210600259996376
CHEMBL1209564	Cc1ccn(CC(=O)NCc2cccc(-n3nc(C(C)(C)C)cc3NC(=O)Nc3ccccc3)c2)n1	-9.202674100987236
CHEMBL1209637	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)C3CC3C(=O)O)c2)n1	-8.44663267884769
CHEMBL1209638	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)C3CCCCC3C(=O)O)c2)n1	-8.958612908165067
CHEMBL1209639	CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)C3CC=CCC3C(=O)O)c2)n1	-8.802502043040338
CHEMBL1209837	CC(C)(C)c1cc(C#N)cc(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)c1	-8.288743775379935
CHEMBL1209838	N#Cc1cc(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(N2CCOCC2)c1	-8.664496583667617
CHEMBL1213107	CONC(=O)c1ccc(C)c(Nc2nc(NCc3cccc(C)c3)nc(NC(C)C(C)(C)C)n2)c1	-9.035040727356982
CHEMBL1213924	Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1	-9.516002286385621
CHEMBL1213925	O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCCN2CCOCC2)c2ccccc12	-8.752293901397781
CHEMBL1213974	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)ccn1	-8.52460277876167
CHEMBL121405	OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1	-8.976909826345585
CHEMBL122061	Nc1ccn2c(-c3ccnc(NC4CCCc5ccccc54)c3)c(-c3ccccc3)nc2n1	-8.97612098059848
CHEMBL126023	Fc1ccc(-c2ncn(C3CC3)c2-c2ccncc2)cc1	-7.872867691519297
CHEMBL129240	Fc1ccc(-c2ncn(CCCSc3ccccc3)c2-c2ccncc2)cc1	-8.718886407617592
CHEMBL129628	COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1	-9.569840282990718
CHEMBL129677	Cc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1	-8.54120924964677
CHEMBL129678	FC(F)(F)c1cccc(-c2n[nH]cc2-c2ccnc3ccccc23)c1	-9.790462341808686
CHEMBL129748	Fc1ccc(-c2ncn(CCCNCc3ccccc3)c2-c2ccncc2)cc1	-8.842898725821685
