name	smiles	score
ZINC41586169	CCOC(=O)C1CCN(Cc2c(O)cc(C)c3c2OC(=Cc2c(F)cccc2Cl)C3=O)CC1	-9.073837808570797
ZINC64006786	Cc1ccccc1C1C2Nc3ccccc3C2CCN1C(=O)C1NN(C)C(=O)c2ccccc21	-8.604338988863555
ZINC09692174	CCC(=O)n1ccc2cc(S(=O)(=O)NC(CC(C)C)C(=O)Nc3ccccc3Br)ccc21	-8.434819291212081
ZINC34747412	NC(=O)CN1CCN(c2nc3sc4c(c3c(=O)n2CCCc2ccccc2)CCCC4)CC1	-7.955852956658418
ZINC38119038	CC(CO)(Nc1cccc(F)c1)c1ccc2c(c1)OCO2	-7.601646406141294
ZINC44599168	CCOc1ccc(S(=O)(=O)N(CC(C)O)CC(C)O)cc1-c1nc2c(C(C)(C)C)nn(C)c2c(=O)[nH]1	-6.776313796392228
ZINC12275432	O=C1C(C2C(=O)c3ccc(Cl)c4c(Br)ccc2c34)=[SH]c2cc(Cl)ccc21	-8.558285088227205
ZINC38994809	COC(=O)C1Nc2cccc(Cl)c2C1NC(=O)CN1CC(C)CC(C)C1	-7.084891705490432
ZINC45549360	CCOC(=O)C1=C(CN2Cc3ccccc3C(c3ccccc3)C2)NC(=O)NC1c1ccco1	-8.179658436144486
ZINC07344454	O=C(CSc1nc2cc(Cl)ccc2[nH]1)Nc1ccc2[nH]c(=O)[nH]c2c1	-7.989378307038858
ZINC14465798	O=S(=O)(NC1CCCCC1)c1ccc2c(c1)C1CCCC1C(c1ccccc1Cl)N2	-10.043311253379443
ZINC05390650	COc1ccccc1C1(CCNC(C)c2ccccc2)CCOC(C(C)C)C1	-7.349470393046604
ZINC05322913	Cc1c(CC(=O)NCc2ccc(S(N)(=O)=O)cc2)c(=O)oc2cc(O)ccc12	-7.901918351537328
ZINC37054429	CC1CCCCN1S(=O)(=O)c1ccc(Br)cc1N	-6.489050149333232
ZINC38706101	COc1ccc(CCN2C(=O)c3[nH]nc(-c4c(C)cc(C)cc4O)c3C2c2ccc(SC)cc2)cc1OC	-6.857213769296044
ZINC21238419	O=C1CC(c2cccs2)CC2=C1C(c1ccc(F)c(Br)c1)Nc1ccccc1N2	-9.193108697086313
ZINC12602549	O=C(NCC1CC2CCN1CC2CN1CCC(Cc2ccccc2)CC1)Nc1ccsc1	-9.252356488810173
ZINC16667840	CN(C)c1ccc(C=C(C#N)c2ccc([N+](=O)[O-])cc2)cc1Br	-6.386474535520672
ZINC25074235	CCCN(CC1=NC2=CCC(Cl)=CN2C(=O)C1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O	-7.899616848333871
ZINC40157449	CC(C)c1ccc2c(c1)CCCN2C(=O)C1CCCN1C(=O)c1ccco1	-8.543101142373411
ZINC63503304	CCOc1ccc(C2C3Nc4ccccc4C3CCN2C(=O)c2cc3cc(Br)ccc3o2)cc1	-8.61792560763132
ZINC38652408	Cc1ccccc1C(=O)Oc1ccc2c(c1)OC(N)=C(C#N)C2c1ccc(F)cc1	-9.061753154946398
ZINC10646190	O=Cc1cc(Br)ccc1OCC(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2	-7.48048726350199
ZINC32608321	CCc1cc2c(-c3ccccc3)cc(=O)oc2c(-c2ccn[nH]2)c1O	-8.755896684561828
ZINC49118781	Nc1c(Nc2ccc(Cl)c(F)c2)ccc2scnc12	-7.547370659870314
ZINC43374803	CC(C)Cc1nnc(NC(=O)NC(C)c2ccc(S(N)(=O)=O)cc2)s1	-7.285566887021837
ZINC00822908	Nc1c(Cl)cc(N2C(=O)c3ccc(C(=O)OCC(=O)c4ccc(Br)cc4)cc3C2=O)cc1Br	-7.434783542663234
ZINC39488260	CCON1CCC(CN2C(=O)N(c3ccccc3O)CC2(C)c2ccccc2O)(C2CCCCC2)CC1	-6.658606170626814
ZINC52302949	CNc1ncc(Br)cc1C(=O)NC1CC1C	-6.241137823728483
ZINC43761527	OC1CCCC2CCCC12	-5.478167925411456
ZINC24786829	CCOC(=O)c1sc(NC(=O)CSc2nc(-c3ccccc3Br)n[nH]2)cc1C	-6.950548216937723
ZINC20791310	Cc1ccc(NS(=O)(=O)c2ccc(NNc3c(O)[nH]c4ccc(Cl)cc34)c([N+](=O)[O-])c2)c(C)c1	-8.673561959687737
ZINC13097381	Cc1cc(C)n2nc(C(=O)OCC(=O)Nc3sc4c(c3C(N)=O)CCC(C)C4)nc2n1	-7.740769981552183
ZINC39690164	Cc1ccc(F)c(C(=O)N2CC(C(=O)NCc3ccc(-n4cccc4)cc3)C3(CCNCC3)C2)c1F	-9.42524212337156
ZINC38714754	CCN(CC)CCCN1C(=O)c2oc3cc(C)c(Cl)cc3c(=O)c2C1c1ccc(C(C)(C)C)cc1	-7.0249377182967665
ZINC15969010	C=CCN(C(=O)c1cc(Cl)cc(Cl)c1)c1nc2c(s1)CCCC2	-7.926351742147521
ZINC09381188	Cc1nc2sc(C(c3ccccc3)N3CCC(Cc4ccccc4)CC3)c(O)n2n1.O=NO	-8.666047708406408
ZINC63150025	NS(=O)(=O)C1CC(C(=O)NCC(c2ccccc2Cl)c2c[nH]c3ccccc23)CS1	-9.381669281352343
ZINC12429548	O=C(c1nc2sccn2c1CN1CCCC(CN2CCCCC2)C1)N1CCCC1	-8.713880791339225
ZINC36599672	CCCC(=O)N(Cc1ccc(C)o1)C(C(=O)NC(C)(C)CC(C)(C)C)c1c(O)cc(O)cc1O	-6.708417779200971
ZINC63258821	Clc1ccc(-n2c(SCC3=NC(c4ccccc4)SC3)nnc2-c2c[nH]c3ccccc23)cc1	-9.60910624103306
ZINC65492360	COc1cc(C=CC(=O)N2CCc3c([nH]c4ccccc34)C2C)cc(OC)c1	-8.022244044985277
ZINC39937772	CC(SC1NN=C(c2c[nH]c3ccccc23)N1C1CC1)C(=O)Nc1cc(F)ccc1F	-9.678038599499919
ZINC63857813	O=C(NC(Cc1c[nH]c2ccccc12)C(=O)NN=Cc1cccnc1)c1cccs1	-8.243886980602579
ZINC36743185	CC1CCCCN1S(=O)(=O)Nc1c(N)cc(Br)cc1Br	-6.6147183967442205
ZINC34133662	Cc1cc(C)c(NC(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)c(C)c1	-7.378018558625058
ZINC16609215	CCN1C(=S)NC(c2ccc(NC(=O)c3cccc4ccccc34)cc2)C(C(=O)OCC(C)C)=C1C	-8.902334085391312
ZINC09584119	COc1ccc(C2c3ccc(O)cc3Oc3ncn4nc(COc5ccccc5)nc4c32)cc1	-8.653177275407282
ZINC09959518	CCOC(=O)c1sc2nc(C(C)NCCOc3ccccc3OC)[nH]c(=O)c2c1C	-6.498031304732424
ZINC00608972	CCC(=O)n1cc(C2OC(=O)C(C)(C)C(=O)C2(C)C)c2ccccc21	-8.31148849823956
ZINC13502555	Cc1nnc(NC(=O)CSc2nnc3c4c5c(sc4nc(C(C)C)n23)CC(C)CC5)s1	-8.160768624594315
ZINC43210334	CCc1c(-c2ccc(N(C)C)cc2)c(C(N)=O)c(C)n1CCc1cccs1	-7.329807462417367
ZINC22453139	Cc1ccc(SCc2cc(=O)[nH]c(N3C(C)CCCC3C)n2)cc1	-8.171907029990876
ZINC66619210	Cc1ccc(CC(C)NC(=O)N2CCC(NC(=O)C(C)C)CC2)c(C)c1	-8.096978048970744
ZINC28164543	CCc1cc2c(SCC(=O)c3c(C)cc(C)cc3C)nc(C)nc2s1	-7.746204626200945
ZINC01930744	CCOC(=O)c1c(NC(=O)CN(Cc2ccccc2)Cc2ccccc2)sc2c1CCCC2	-7.326617191672386
CHEMBL221648	O=C(NCCCN(c1ccc(=O)n(-c2ccccc2Cl)n1)c1ccccc1Cl)C1CCNCC1	-8.240237293150429
ZINC06904592	COCCCn1c(SCC(=O)NNC(=O)c2cccc(O)c2)nc2sc3c(c2c1=O)CCC3	-7.599121655275311
ZINC34683981	COc1cc(CN2CCC(N(c3ccc4c(c3)OCO4)S(=O)(=O)c3ccc(C)cc3)CC2)ccc1O	-8.262859953243757
ZINC09926233	O=C1c2ccccc2CCC1C1(O)C(=O)N(CC=Cc2ccccc2)c2ccccc21	-9.941253339428036
ZINC46780793	CC1CCCCN1Cc1ccc(CNC(=O)CSCc2nc3sc4c(c3c(=O)[nH]2)CCC4)cc1	-8.347842290988273
ZINC36605138	Cc1ccc(S(=O)(=O)CNC(=O)C(c2ccc(N(C)C)cc2)N(C(=O)CC(C)C)c2ccccc2)cc1	-7.746379110599265
ZINC39780132	CCOC(=O)C1=C(C)N=c2sc(=Cc3c[nH]c4ccccc34)c(=O)n2C1c1c(OC)ccc2ccccc12	-8.105489358432932
ZINC42738254	CC1c2ccsc2CCN1CCCn1cc(N)ccc1=O	-7.4838867820733785
ZINC20209683	Cc1ccc(COc2ccc(C=NNC(=O)CN(c3ccc(Cl)cc3)S(C)(=O)=O)cc2)cc1	-8.06432061725344
ZINC35057074	CCC(C)c1ccc(OC2OC3COC(c4ccccc4)OC3C(OC(C)C(=O)O)C2NC(C)=O)cc1	-8.09137236839736
