name	smiles	score
ZINC39440407	O=C(NCc1cc2cc(Cl)ccc2[nH]1)C1CC2NC(c3ccc4c(c3)OCO4)CC(C(F)(F)F)N2N1	-10.12529858813496
ZINC06749250	CCOC(=O)c1ccccc1NC(=O)c1nc(-c2ccc(C)cc2)n2c1CCCCC2	-8.800571920322433
ZINC00825728	O=C(NN=Cc1ccc([N+](=O)[O-])cc1)c1ccc(C2SCC(=O)N2Cc2ccccc2)cc1	-8.178602283848496
ZINC20884327	COc1cc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(Cl)ccc2O)ccc1OC(C)C	-8.678500017918795
ZINC16246313	CCC(C)c1ccc(-n2c(SCc3nc4ccccc4c(=O)[nH]3)nc3ccccc3c2=O)cc1	-9.175315403180338
ZINC64020238	O=C(NN=Cc1ccc(Br)cc1)C1Nc2ccc(Br)cc2C1c1ccccc1	-7.980113825617195
ZINC19845607	Nc1ccccc1Sc1nnc2n1CCCCC2	-7.351930739544293
ZINC57614957	CCN(CC)CCn1c(=NC(=O)c2cc3c(nc4sccn43)s2)[nH]c2ccccc21	-7.964953146151366
ZINC35430784	CNCc1c(Oc2ccc(I)cc2)nc2sccn12	-6.774132363265469
ZINC66835403	COC(=O)C1CCCN(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)C1	-7.395995722305093
ZINC06322058	Cc1ccc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCC3)N3CCN(C(=O)c4ccco4)CC3)cc12	-9.275301708179677
ZINC06832493	COc1ccc(C2C3=C(N=C4N=CNN42)c2ccccc2OC3CC(C)C)cc1	-8.949639700344756
ZINC00779959	CC(NC(=O)C1C(=O)NC2(C)CC1c1ccccc1O2)c1ccccc1	-9.011785228053643
ZINC59990821	CCOc1cc(C#N)cc(Br)c1OCC(=O)NCC(C)(C)N1CCCC(C)C1	-7.663711001427725
ZINC17242546	COc1cc(C2C3=C(CC(C)(C)CC3=O)NC3N=C(SCc4ccccc4)NN32)cc(OC)c1OC	-8.437908500058004
ZINC28525734	O=C(Nc1ccccc1NC(=O)C1C=CCCC1)OCC1CCN(C2C=CNC=C2)CC1	-9.29243533466857
ZINC13214024	O=C(O)c1cccc(N2C(=O)C(O)=C(C(=O)c3ccco3)C2c2ccc(OC(F)F)cc2)c1	-9.011675975061474
ZINC22426646	Cc1ccc2c(c1)OC(C)(C)CC2NC(=O)CN(c1ccccc1C(C)C)S(C)(=O)=O	-7.817297925880692
ZINC65000429	Cc1ccc(-n2cc3c(c(C(=O)NC4CCN(Cc5ccccc5)CC4)c2=O)CC(C)(C)CC3=O)cc1	-8.879231216857894
ZINC38768317	COc1ccc(C2C(C)=NNC2c2ccc(OCc3cc(C)ccc3C)cc2O)cc1OC	-8.67314637918348
ZINC08997436	CC1=C(C(=O)OC(C)C)C(c2ccc(N(C)C)cc2)N2C(=N1)Nc1ccccc12	-7.59529160420645
ZINC08434830	COc1c(Cl)cc(Cl)cc1C1NC(=O)NC(C)=C1C(=O)OC1CCCC(C)C1	-7.973739274734914
ZINC24871180	O=C(NCC(c1cccs1)N1CCCC1)C1CCN(c2ccccc2)CC1.O=NO	-8.03893485931945
ZINC49496726	Cc1cc(N)ccc1S(=O)(=O)N=C1NC(C(C)(C)C)C=[SH]1	-7.3966225318730965
ZINC09198981	COc1ccc(CCNC(=O)CCc2c(C)c3cc4c(C(C)(C)C)coc4c(C)c3oc2=O)cc1OC	-9.543814993869514
ZINC08789586	C#CC1(O)CCC2C3CCC4=CC(=NOCC(=O)NCCc5ccc(F)cc5)CCC4(C)C3CCC21C	-9.439588184548658
ZINC11855095	CCc1c(C)nc(-n2nc(-c3cccs3)cc2NC(=O)c2ccc(F)c(F)c2)[nH]c1=O	-8.355264197332694
ZINC36597685	Cc1ccc(CN(C(=O)c2cccc(O)c2O)C(C(=O)NC(C)(C)C)C(c2ccccc2)c2ccccc2)o1	-7.058436517077628
ZINC19715620	CC(C)(C)C1CCc2onc(C(=O)Nc3nc(CC(N)=O)cs3)c2C1	-8.533840239914161
ZINC64040591	COc1ccc(NC(=O)C2CC23CCN(C(=O)C2Cc4cc(F)ccc4N2)CC3)cc1Cl	-8.937816239231239
ZINC28313950	C=CCN1C(=O)C(CC(=O)Nc2ccc(OC)cc2[N+](=O)[O-])SC1=Nc1ccc(C)cc1C	-8.234068549114204
ZINC40093281	CCCOc1ccccc1C1C(C(=O)c2ccc(OC(C)C)c(C)c2)=C(O)C(=O)N1CCOCCO	-7.250004282428771
ZINC39942793	CN(C)c1ccc(C=NNC(=O)C2=C3CC(CC(C)(C)C)CCC3N=N2)cc1	-8.148377443146485
ZINC06625443	CC1(C(=O)NN=Cc2ccccc2O)CCC(c2nc3ccccc3[nH]2)C1(C)C	-8.857933624650721
ZINC14456434	Cc1ccc(C2Nc3c(O)cc([N+](=O)[O-])cc3C3CCCC32)s1	-8.521477635251768
ZINC20686794	Cc1cccc(NC(=O)CN(C)C(C)C(=O)NC(=O)NC23CC4CC(CC(C4)C2)C3)c1C	-9.22318848132541
ZINC22527264	O=C(NCC1CC2c3ccccc3C1c1ccccc12)c1ccccc1[N+](=O)[O-]	-9.770934848706661
ZINC38930962	O=C(NN=Cc1c[nH]c2ccccc12)C1CC(c2ccc(OCc3ccccc3Cl)cc2)=NN1	-9.78179411481478
ZINC39883579	CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)Cc2coc3ccc(C(C)(C)C)cc23)cc1	-8.520685796580134
ZINC13394696	CC(c1ccccc1)n1c(SCC(=O)N2Cc3ccccc3CC2C(=O)O)nc2ccccc2c1=O	-9.692467598819036
CHEMBL296534	Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CNOC1	-8.266648769069542
ZINC35245214	CCC(C)NC(=O)c1ccc(CN(Cc2ccc(Cl)cc2)Cc2ccc3c(c2)OCO3)o1	-8.26793184760661
